2026-03-07 17:45:20 | ERROR    | GatewayMapper | 认证失败：用户名或密码错误
2026-03-07 17:45:35 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:45:35 | INFO     | GatewayMapper | SSH 连接已断开
2026-03-07 17:45:35 | INFO     | GatewayMapper | 使用密码认证连接 122.51.4.170
2026-03-07 17:45:35 | INFO     | GatewayMapper | SSH 连接成功: root@122.51.4.170:22
2026-03-07 17:45:35 | INFO     | GatewayMapper | 端口转发已启动: 127.0.0.1:18789 -> 127.0.0.1:18789
2026-03-07 17:45:35 | INFO     | GatewayMapper | 连接成功: 122.51.4.170
2026-03-07 17:45:35 | INFO     | GatewayMapper | 已打开浏览器: http://localhost:18789
2026-03-07 17:45:35 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11136)
2026-03-07 17:45:35 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11138)
2026-03-07 17:45:35 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11278)
2026-03-07 17:45:35 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11279)
2026-03-07 17:45:37 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11283)
2026-03-07 17:45:37 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 11329)
2026-03-07 17:45:40 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:45:41 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:45:41 | INFO     | GatewayMapper | 已更新预设: OpenClaw
2026-03-07 17:45:41 | INFO     | GatewayMapper | 已保存预设: OpenClaw
2026-03-07 17:46:01 | INFO     | GatewayMapper | 正在停止端口转发...
2026-03-07 17:46:01 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 3949)
2026-03-07 17:46:01 | INFO     | GatewayMapper | 端口转发已停止
2026-03-07 17:46:01 | INFO     | GatewayMapper | SSH 连接已断开
2026-03-07 17:46:01 | INFO     | GatewayMapper | 已断开连接
2026-03-07 17:46:14 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 17:46:14 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 17:46:19 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:46:19 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:46:19 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:47:17 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:47:17 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:47:17 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:47:26 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:47:26 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:47:26 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:48:22 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:48:22 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:48:22 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:49:33 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 17:49:33 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 17:52:38 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:52:38 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:52:39 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:55:29 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:55:29 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-07 17:55:29 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:56:37 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:56:37 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:56:37 | INFO     | GatewayMapper | 已选择预设: OpenClaw
2026-03-07 17:56:40 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:56:40 | INFO     | GatewayMapper | 使用密码认证连接 122.51.4.170
2026-03-07 17:56:40 | INFO     | GatewayMapper | SSH 连接成功: root@122.51.4.170:22
