2026-03-15 18:11:08 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-15 18:12:29 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-15 18:49:47 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-15 18:50:10 | INFO     | GatewayMapper | 已加载配置文件: D:\GatewayMapper\config.json
2026-03-15 18:50:10 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-15 18:50:10 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-15 18:50:10 | INFO     | GatewayMapper | 已加载上次使用的预设：OpenClaw
2026-03-15 18:50:10 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 18:53:58 | INFO     | GatewayMapper | 已从旧版路径迁移配置：D:\GatewayMapper\config.json -> C:\Users\Paip\AppData\Roaming\GatewayMapper\config.json
2026-03-15 18:54:12 | INFO     | GatewayMapper | 已加载配置文件: C:\Users\Paip\AppData\Roaming\GatewayMapper\config.json
2026-03-15 18:54:12 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-15 18:54:12 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-15 18:54:12 | INFO     | GatewayMapper | 已加载上次使用的预设：OpenClaw
2026-03-15 18:54:12 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-15 18:54:28 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 18:54:28 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 18:54:28 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 18:54:28 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 18:54:28 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 18:54:28 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-15 18:54:28 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 检测到已有实例运行
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 检测到已有实例运行
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 检测到已有实例运行
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 18:54:28 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 18:54:28 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
